BLOCK HEIGHT | TX KIND  | AMOUNT           | TX ID                                | EXIT CODE    | VALIDATOR 
1008661      | claimRewards | -                | cf7b8be6...e6f47b89                  | applied      | tnam1q8l...wvav4amt
975950       | claimRewards | -                | c577a66e...e2518e97                  | applied      | tnam1q8l...wvav4amt
975950       | bond     | 235.034733       | 9083ae8f...20afb811                  | applied      | tnam1q8l...wvav4amt
959160       | bond     | 157.049808       | 1a2037fb...7f3d7fdc                  | applied      | tnam1q8l...wvav4amt
959160       | claimRewards | -                | f525a68c...3888d62d                  | applied      | tnam1q8l...wvav4amt
946914       | bond     | 117.495870       | cfd7f850...b6ad5e26                  | applied      | tnam1q8l...wvav4amt
946914       | claimRewards | -                | fe64498b...b21fb96c                  | applied      | tnam1q8l...wvav4amt
937883       | unbond   | -                | a483aad5...2584d322                  | applied      | tnam1q8l...wvav4amt
937847       | unbond   | -                | 609168cf...ed6cacab                  | rejected     | tnam1q8l...wvav4amt
937807       | unbond   | -                | 18dc78c5...8241d1b2                  | applied      | tnam1q8l...wvav4amt
937787       | unbond   | -                | c6e5a76f...7cd9b906                  | rejected     | tnam1q8l...wvav4amt
937777       | unbond   | -                | 11a2305b...4a625a5d                  | rejected     | tnam1q8l...wvav4amt
935599       | unbond   | -                | ffa03d34...2a1e3208                  | rejected     | tnam1q8l...wvav4amt
935194       | bond     | 313.495697       | ceb7cb4d...850e2ea3                  | applied      | tnam1q8l...wvav4amt
935194       | claimRewards | -                | f8a0a8f3...b98e45e3                  | applied      | tnam1q8l...wvav4amt
924965       | voteProposal | -                | be5bb36d...81f9da4f                  | applied      | -         
922687       | unbond   | -                | a5895c8a...a0d5298f                  | rejected     | tnam1q8l...wvav4amt
922661       | unbond   | -                | b6e1b29c...e09b29a0                  | rejected     | tnam1q8l...wvav4amt
922632       | unbond   | -                | 4346bada...a14c08a8                  | rejected     | tnam1q8l...wvav4amt
922628       | claimRewards | -                | 53b04882...40cba88c                  | applied      | tnam1q8l...wvav4amt
922628       | bond     | 313.356581       | d7f75149...43b8b854                  | applied      | tnam1q8l...wvav4amt
912294       | unbond   | -                | 1ae80904...87c2621c                  | rejected     | tnam1q8l...wvav4amt
911856       | unbond   | -                | 714b0f27...ed206c1e                  | rejected     | tnam1q8l...wvav4amt
911849       | unbond   | -                | 5d2e89cf...087511c7                  | rejected     | tnam1q8l...wvav4amt
911837       | unbond   | -                | 5935f3a9...a0ba9b96                  | rejected     | tnam1q8l...wvav4amt
911832       | bond     | 233.878096       | 7316719d...1c0b25fe                  | applied      | tnam1q8l...wvav4amt
911832       | claimRewards | -                | 290b0f1e...f04f946c                  | applied      | tnam1q8l...wvav4amt
901692       | claimRewards | -                | 0664e0fb...c4bcef8b                  | applied      | tnam1q8l...wvav4amt
901692       | bond     | 7464.142114      | fb867b07...ddf6fe2b                  | rejected     | tnam1q8l...wvav4amt
901640       | bond     | 7464.142114      | 42efad92...242bef61                  | applied      | tnam1q8l...wvav4amt
901640       | claimRewards | -                | 05f0166e...f227ddc7                  | rejected     | tnam1q8l...wvav4amt
603472       | bond     | 161.065611       | 4ffd0e37...fda5ec6f                  | applied      | tnam1q8l...wvav4amt
603472       | claimRewards | -                | 7a5b320c...6b43edfd                  | applied      | tnam1q8l...wvav4amt
598609       | bond     | 160.940537       | cf2abd68...ec577382                  | applied      | tnam1q8l...wvav4amt
598609       | claimRewards | -                | 602ff9cd...61b28780                  | applied      | tnam1q8l...wvav4amt
592638       | claimRewards | -                | f08bf3ed...fccbdd53                  | applied      | tnam1q8l...wvav4amt
592638       | bond     | 80.560070        | b7ea704c...73c20e69                  | applied      | tnam1q8l...wvav4amt
589700       | claimRewards | -                | d2449696...ac3a0f15                  | applied      | tnam1q8l...wvav4amt
589700       | bond     | 241.796912       | ffd3d8ef...8ac75e12                  | applied      | tnam1q8l...wvav4amt
579926       | claimRewards | -                | 74643f2f...e7e8b72f                  | applied      | tnam1q8l...wvav4amt
579926       | bond     | 161.092738       | bc127011...dc7cd41a                  | applied      | tnam1q8l...wvav4amt
574692       | bond     | 241.919504       | 3f7f22db...992986c8                  | applied      | tnam1q8l...wvav4amt
574692       | claimRewards | -                | 2a21c809...6aba5ef1                  | applied      | tnam1q8l...wvav4amt
562898       | claimRewards | -                | 13af0017...478faf41                  | applied      | tnam1q8l...wvav4amt
562898       | bond     | 402.989378       | 04d306ed...94183c85                  | applied      | tnam1q8l...wvav4amt
547904       | bond     | 161.108435       | 113af04d...3bac5bec                  | applied      | tnam1q8l...wvav4amt
547904       | claimRewards | -                | 76e45d24...75495e60                  | applied      | tnam1q8l...wvav4amt
541536       | bond     | 402.775067       | 500de353...7cda8da4                  | applied      | tnam1q8l...wvav4amt
541536       | claimRewards | -                | 0b6de0ee...e36191fa                  | applied      | tnam1q8l...wvav4amt
525508       | bond     | 80.569960        | f632d55e...e62d59fd                  | applied      | tnam1q8l...wvav4amt
525508       | claimRewards | -                | e54da943...6decd2a2                  | applied      | tnam1q8l...wvav4amt
523328       | claimRewards | -                | 8727aa3a...a05d2f45                  | applied      | tnam1q8l...wvav4amt
523328       | bond     | 161.015710       | cbee5158...d906023d                  | applied      | tnam1q8l...wvav4amt
515814       | claimRewards | -                | 365e93a3...dddff335                  | applied      | tnam1q8l...wvav4amt
515814       | bond     | 80.489716        | c16d4456...321f21d7                  | applied      | tnam1q8l...wvav4amt
513568       | claimRewards | -                | 036a80e9...3dbc62ca                  | applied      | tnam1q8l...wvav4amt
513568       | bond     | 80.755643        | 187c56f6...27aaa583                  | applied      | tnam1q8l...wvav4amt
511374       | bond     | 80.746208        | d98dd7bb...0bdba248                  | applied      | tnam1q8l...wvav4amt
511374       | claimRewards | -                | a6f79099...155cf074                  | applied      | tnam1q8l...wvav4amt
506491       | bond     | 80.692849        | 8c6baff1...332fa9e2                  | applied      | tnam1q8l...wvav4amt
506491       | claimRewards | -                | a78f9f82...86662ecd                  | applied      | tnam1q8l...wvav4amt
503901       | bond     | 80.726508        | 8623b445...a473da45                  | applied      | tnam1q8l...wvav4amt
